cover_average-length,cover_brief,cover_concise,cover_extensive,cover_long,cover_medium-length,cover_moderate-length,cover_short,cover_verbose,email_average-length,email_brief,email_concise,email_extensive,email_long,email_medium-length,email_moderate-length,email_short,email_verbose,essay_average-length,essay_brief,essay_concise,essay_extensive,essay_long,essay_medium-length,essay_moderate-length,essay_short,essay_verbose,explanation_average-length,explanation_brief,explanation_concise,explanation_extensive,explanation_long,explanation_medium-length,explanation_moderate-length,explanation_short,explanation_verbose,social_average-length,social_brief,social_concise,social_extensive,social_long,social_medium-length,social_moderate-length,social_short,social_verbose
1733,1268,934,1639,2062,1412,1630,1099,1860,1109,992,880,1462,1400,1070,1467,690,1351,2960,2212,1797,2815,2926,2485,2484,2473,2947,1910,962,1201,2142,2021,1461,2036,1026,1970,880,654,456,1065,1132,932,771,521,1223
1442,1064,895,1437,2409,1421,1481,1153,2059,1097,1019,1047,1166,1630,1215,1045,629,1448,2822,1849,1735,3142,2890,2541,2395,2020,2632,1731,711,1015,2437,2477,1537,1708,728,1839,685,599,609,1382,1393,794,891,725,1344
1612,1002,833,1818,1971,1724,1479,1082,2011,930,1123,1042,1502,1373,1364,1047,861,2002,2089,1835,2281,2542,3162,2561,2487,2416,3013,1334,1097,898,2079,2860,1627,1168,1110,2526,770,493,468,1336,1176,979,838,756,1267
1427,1112,974,1960,1950,1732,1493,1044,1866,1171,1060,770,1041,1260,1194,1396,802,1335,2497,1897,2072,3266,3073,2449,2380,2432,3041,935,1880,835,1596,2117,1600,1165,1211,2421,583,545,364,1119,1639,885,755,494,1647
1619,917,837,1459,1776,1175,1344,1119,1821,1433,936,869,1502,1559,1145,948,650,1600,2753,2286,2006,2416,3369,2267,2655,2155,2719,1524,991,733,2353,3132,2205,1387,751,1774,801,520,503,1359,1364,1080,689,733,1115
1524,1289,773,1909,2225,1148,1510,1103,2027,1494,664,959,2080,1466,1042,1662,1106,1655,2810,2503,2013,3474,2560,2917,3508,1745,2786,1412,1236,1335,2464,2258,1162,1866,1119,2438,678,543,478,1445,1129,878,735,527,1372
1768,995,989,1685,1944,1667,1429,1205,2252,1556,723,1044,1264,1772,1452,1528,872,1672,2429,1966,2280,2734,3121,2715,2327,2030,2396,1312,1317,1032,3092,2328,1470,2199,1236,2149,848,555,522,1004,1394,827,943,677,1333
1369,1360,944,1655,2041,1433,1699,1042,1903,1228,872,1176,1189,1898,1214,1208,875,1465,2437,2598,1824,3229,3218,2522,2624,1937,2909,1021,1293,800,3035,3626,1990,1631,921,2130,864,472,460,1658,1427,907,979,714,1257
1549,1000,1081,2128,1712,1855,1741,1158,1616,1245,1098,847,1310,1618,1519,1133,1224,921,2408,1974,2107,3077,3190,2249,2518,2038,2631,1294,1388,1005,2003,1963,976,1415,1210,2532,864,408,473,1078,1112,744,1025,512,1549
1197,1033,982,1803,2007,1707,1737,1024,1821,1246,738,1170,1538,1487,973,1185,1175,1260,3043,1906,2113,3082,2847,2657,2327,2606,2729,1278,1111,840,2464,1776,2387,1726,906,2880,542,516,390,1231,1540,761,932,584,2028
1295,1145,946,1390,1853,1380,1043,1193,1917,1024,753,1238,1347,2027,1224,1187,870,1389,2565,1839,1857,2943,3250,2286,3204,1973,3046,1715,900,959,2652,2740,1641,1616,1052,3230,854,649,423,1629,1540,876,882,528,1746
1485,1091,787,2279,1727,2158,1269,1361,1418,1575,1098,1088,1321,1609,1338,845,798,1771,2737,1986,2345,2617,2632,2380,2483,1794,4262,1293,1057,757,2410,2138,1379,2067,620,1565,956,529,501,1713,1438,1060,885,549,1132
1272,1157,776,1797,1988,1707,1380,902,2245,1011,1230,1035,1922,2055,934,1140,998,1493,2321,2103,2086,2680,2981,2513,2558,1983,3317,1744,1011,722,2591,2779,1147,1492,1060,1838,667,596,497,1189,1197,1062,926,477,1286
1346,983,953,1605,2107,1341,1396,1020,2111,1370,821,753,1376,1402,1545,970,1050,1399,2652,2329,2129,2710,3206,1663,2531,1772,2330,1623,1154,810,2898,1731,1277,1537,1160,2398,714,503,453,1340,1510,1035,1021,400,1352
1665,921,1151,1878,1909,1628,1718,967,1903,1289,749,803,1740,1629,967,1102,1180,1702,2319,2673,2509,2597,3331,2459,2839,2081,2476,1761,1921,1199,2511,1981,1432,1266,912,2262,876,594,493,1175,1275,932,920,612,1470
